iter	Logloss
0	0.6678959271
1	0.6489768458
2	0.6309512539
3	0.6163372943
4	0.6032923109
5	0.5892601421
6	0.5789052716
7	0.5619540382
8	0.5529584812
9	0.5449595211
10	0.5381807517
11	0.5301790893
12	0.5271903701
13	0.5207440791
14	0.5151393745
15	0.5093390312
16	0.5029325762
17	0.4973972
18	0.4922896291
19	0.4897692032
20	0.4846793371
21	0.4793139742
22	0.4770891728
23	0.47471607
24	0.4714642474
25	0.4666265823
26	0.4621000101
27	0.4594902679
28	0.4551498763
29	0.4528882209
30	0.4511660044
31	0.4495102278
32	0.4477271626
33	0.4470666783
34	0.4461283676
35	0.4456178156
36	0.4439954452
37	0.441739707
38	0.4388112774
39	0.4369573928
40	0.4340750891
41	0.4329751051
42	0.4304632522
43	0.4282178107
44	0.426609977
45	0.4255338014
46	0.4231960151
47	0.4219063096
48	0.4204522752
49	0.4197195737
50	0.41720199
51	0.4165014835
52	0.4141944478
53	0.4116228176
54	0.4101795459
55	0.4087314751
56	0.4074109725
57	0.4054205276
58	0.4040311624
59	0.4021347395
60	0.4010620117
61	0.3998216003
62	0.3979126908
63	0.3967090869
64	0.3960982228
65	0.394872581
66	0.393302999
67	0.3920039286
68	0.3910913365
69	0.3905903591
70	0.3896270053
71	0.3878189669
72	0.3853268456
73	0.3833518458
74	0.3817839877
75	0.3796101111
76	0.3789844542
77	0.3768058486
78	0.3750971437
79	0.3742657145
80	0.3729852342
81	0.3719929469
82	0.3708940113
83	0.3698590461
84	0.3690018283
85	0.3679139115
86	0.3671739418
87	0.3651167542
88	0.3637075177
89	0.3628082042
90	0.3610011909
91	0.360356245
92	0.359825309
93	0.3577448488
94	0.3570569919
95	0.3553076358
96	0.3533508301
97	0.3517117566
98	0.3508353663
99	0.3494759829
