iter	Passed	Remaining
0	6	624
1	10	536
2	18	595
3	23	563
4	28	535
5	35	551
6	40	533
7	45	518
8	51	519
9	56	506
10	61	498
11	67	493
12	72	483
13	79	485
14	84	476
15	89	467
16	98	481
17	103	472
18	109	464
19	115	460
20	120	452
21	125	444
22	131	439
23	136	433
24	142	426
25	147	420
26	153	415
27	159	411
28	164	403
29	169	396
30	177	396
31	184	392
32	191	388
33	198	384
34	203	378
35	211	376
36	216	369
37	222	362
38	229	358
39	234	351
40	241	347
41	246	341
42	254	336
43	259	330
44	265	324
45	272	319
46	277	312
47	282	305
48	288	300
49	293	293
50	298	287
51	306	282
52	311	276
53	316	269
54	323	265
55	329	258
56	334	252
57	340	246
58	346	240
59	354	236
60	359	229
61	364	223
62	371	218
63	377	212
64	383	206
65	388	200
66	394	194
67	401	189
68	408	183
69	413	177
70	420	171
71	425	165
72	432	159
73	438	153
74	443	147
75	452	142
76	457	136
77	464	131
78	469	124
79	475	118
80	482	113
81	487	107
82	492	100
83	499	95
84	504	89
85	511	83
86	517	77
87	522	71
88	530	65
89	535	59
90	541	53
91	548	47
92	553	41
93	560	35
94	566	29
95	571	23
96	579	17
97	584	11
98	589	5
99	597	0
